X0 X1 X2
X1 X3 X4
X2 X5 X6
X3 X7 X8
X4 X9 X10
X5 X11 X12
X6 X13 X14
X7 X15 X16
X8 X17 X18
X9 X19 X20
X10 X21 X22
X11 X23 X24
X12 X25 X26
X13 X27 X28
X14 X29 X30
X15 X31 X32
X16 X33 X34
X17 X35 X36
X18 X37 X38
X19 X39 X40
X20 X41 X42
X21 X43 X44
X22 X45 X46
X23 X47 X48
X24 X49 X50
X25 X51 X52
X26 X53 X54
X27 X55 X56
X28 X57 X58
X29 X59 X60
X30 X61 X62
X31 X63 X64
X32 X65 X66
X33 X67 X68
X34 X69 X70
X35 X71 X72
X36 X73 X74
X37 X75 X76
X38 X77 X78
X39 X79 X80
X40 X81 X82
X41 X83 X84
X42 X85 X86
X43 X87 X88
X44 X89 X90
X45 X91 X92
X46 X93 X94
X47 X95 X96
X48 X97 X98
X49 X99 X100
X50 X101 X102
X51 X103 X104
X52 X105 X106
X53 X107 X108
X54 X109 X110
X55 X111 X112
X56 X113 X114
X57 X115 X116
X58 X117 X118
X59 X119 X120
X60 X121 X122
X61 X123 X124
X62 X125 X126
X63 20 20
X64 21 23
X65 21 24
X66 23 25
X67 19 21
X68 23 24
X69 22 22
X70 25 26
X71 20 21
X72 23 24
X73 22 22
X74 23 26
X75 23 23
X76 25 26
X77 23 26
X78 28 28
X79 21 22
X80 24 25
X81 25 28
X82 26 28
X83 23 25
X84 23 25
X85 27 27
X86 26 28
X87 25 25
X88 28 28
X89 27 28
X90 26 30
X91 25 26
X92 27 28
X93 27 31
X94 29 32
X95 21 23
X96 24 26
X97 24 25
X98 24 25
X99 23 24
X100 26 26
X101 23 26
X102 27 28
X103 23 23
X104 25 25
X105 25 27
X106 26 27
X107 23 24
X108 26 28
X109 28 30
X110 29 29
X111 23 26
X112 24 27
X113 22 25
X114 26 27
X115 24 29
X116 30 32
X117 27 29
X118 30 31
X119 27 27
X120 27 32
X121 28 31
X122 28 31
X123 29 32
X124 32 33
X125 31 32
X126 31 32
